"latitude","longitude","name","country","refcode"
"-38.0495","-57.5460","MAR DEL PLATA (9 DE JULIO)","AR","ARG0000007"
"-39.2291","-62.6497","MAYOR BURATOVICH","AR","ARG0000015"
"-28.0441","-58.2285","MBURUCUYA","AR","ARG0000128"
"-29.1808","-58.0793","MERCEDES","AR","ARG0000129"
"-33.1608","-64.3656","MODESTO MARANZANA","AR","ARG0000111"
"-38.5785","-58.7108","NECOCHEA","AR","ARG0000008"
"-34.9907","-68.6237","NIHUIL I","AR","ARG0000214"
"-34.9039","-68.6177","NIHUIL II","AR","ARG0000215"
"-34.8821","-68.5760","NIHUIL III","AR","ARG0000216"
"-34.8330","-68.5168","NIHUIL IV","AR","ARG0000213"
"-26.2072","-64.2477","NUEVA ESPERANZA","AR","ARG0000323"
"-34.5721","-58.3835","NUEVO PUERTO","AR","ARG0000044"
"-27.5019","-55.1245","OBERA (TG Nº21 FIAT )","AR","ARG0000223"
"-38.6851","-59.7804","ORENSE","AR","ARG0000016"
"-33.3549","-60.1718","PARANA","AR","ARG0000001"
"-28.6684","-66.7524","PARQUE EOLICO ARAUCO SAPEM I","AR","ARG0000192"
"-28.6684","-66.7524","PARQUE EOLICO ARAUCO SAPEM II","AR","ARG0000193"
"-45.7458","-67.6953","PARQUE EOLICO DIADEMA","AR","ARG0000081"
"-45.8507","-67.9081","PARQUE EOLICO EL TORDILLO","AR","ARG0000082"
"-43.0907","-65.2298","PARQUE EOLICO LOMA BLANCA IV (ENARSA)","AR","ARG0000075"
"-43.3522","-65.1734","PARQUE EOLICO RAWSON I (ENARSA)","AR","ARG0000076"
"-43.3522","-65.1734","PARQUE EOLICO RAWSON II (ENARSA)","AR","ARG0000077"
"-29.7148","-57.0933","PASO DE LOS LIBRES","AR","ARG0000132"
"-45.7934","-67.5145","PATAGONIA","AR","ARG0000078"
"-29.3400","-58.6077","PERUGORRIA","AR","ARG0000133"
"-46.8065","-67.9808","PICO TRUNCADO - JORGE ROMANUTTI","AR","ARG0000305"
"-46.7842","-67.9498","PICO TRUNCADO I","AR","ARG0000304"
"-31.6651","-63.8314","PIEDRA DEL AGUILA (CPSA)","AR","ARG0000233"
"-32.1675","-64.2438","PIEDRAS MORAS","AR","ARG0000099"
"-31.6651","-63.8314","PILAR  BICENTENARIO","AR","ARG0000100"
"-31.6662","-63.8344","PILAR ZANICHELLI","AR","ARG0000101"
"-28.5339","-65.7997","PLANICIE BANDERITA","AR","ARG0000241"
"-31.3891","-68.6752","PLANTA PILOTO FOTOVOLTAICA SAN JUAN 1","AR","ARG0000298"
"-31.5129","-68.5399","PRESIDENTE SARMIENTO","AR","ARG0000289"
"-27.1149","-65.7523","PUEBLO VIEJO","AR","ARG0000340"
"-42.7069","-65.1048","PUERTO MADRYN","AR","ARG0000073"
"-34.5754","-58.3788","PUERTO NUEVO","AR","ARG0000045"
"-38.7833","-61.8984","PUNTA ALTA - CENTENARIO","AR","ARG0000017"
"-31.2567","-61.5203","QUEBRADA DE ULLUM","AR","ARG0000299"
"-24.9830","-65.6860","RIO CORRALITO","AR","ARG0000282"
"-33.1614","-64.3649","RIO CUARTO","AR","ARG0000103"
"-53.7862","-67.7222","RIO GRANDE","AR","ARG0000104"
"-27.5225","-64.8861","RIO HONDO","AR","ARG0000332"
"-38.8244","-64.8296","SALTO ANDERSEN","AR","ARG0000271"
"-31.3891","-68.6752","SALTO GRANDE (MITAD ARGENTINA)","AR","ARG0000144"
"-31.4391","-62.1119","SAN FRANCISCO","AR","ARG0000105"
"-40.1511","-71.3340","SAN MARTIN DE LOS ANDES","AR","ARG0000250"
"-33.3562","-60.1729","SAN NICOLAS","AR","ARG0000002"
"-26.6253","-54.1102","SAN PEDRO","AR","ARG0000227"
"-31.3533","-64.3938","SAN ROQUE","AR","ARG0000107"
"-36.2314","-66.9381","SANTA ISABEL","AR","ARG0000181"
"-28.5497","-56.0722","SANTO TOME","AR","ARG0000135"
"-32.9053","-60.6807","SORRENTO","AR","ARG0000313"
"-31.4630","-64.2388","SUDOESTE","AR","ARG0000108"
"-28.1650","-66.2250","Saujil","AR","WKS0071209"
"-22.5099","-63.7970","TARTAGAL","AR","ARG0000283"
"-33.3655","-60.1435","TENARIS SIDERCA CETE II","AR","ARG0000034"
"-29.2352","-61.7577","TOSTADO","AR","ARG0000312"
"-31.4557","-68.7556","ULLUM","AR","ARG0000290"
"-25.8766","-54.5687","URUGUA-I","AR","ARG0000228"
"-33.7777","-61.9555","VENADO TUERTO","AR","ARG0000309"
"-37.2487","-56.9973","VILLA GESELL","AR","ARG0000009"
"-39.0872","-67.0881","VILLA MARIA (LAS PLAYAS)","AR","ARG0000109"
"-32.5807","-60.7903","VUELTA DE OBLIGADO","AR","ARG0000308"
"-27.4827","-56.7397","YACYRETA","AR","ARG0000136"
"40.1805","44.1498","Armenian-2","AM","WRI1019028"
"40.5640","44.7479","Hrazadan","AM","WRI1019027"
"40.1152","44.4973","New Yerevan","AM","WRI1019026"
"40.5078","44.7606","Sevan-Hrazdan Cascade","AM","WRI1003805"
"39.4743","46.1306","Shamb","AM","WRI1019030"
"39.6494","45.8500","Spandaryan","AM","WRI1019031"
"39.3956","46.2578","Tatev","AM","WRI1019029"
"40.1138","44.5038","Yerevan","AM","WRI1019025"
"-77.8470","166.6605","McMurdo Station Generator","AQ","WRI1023843"
"-77.8428","166.7271","Ross Island","AQ","WRI1022458"
"-34.9453","138.5882","Adelaide Showgrounds","AU","AUS0000432"
"-35.0641","117.7977","Albany Wind Farm","AU","AUS0000065"
"-34.5509","138.7659","Amcor Gawler","AU","AUS0000231"
"-34.5034","139.0246","Angaston","AU","AUS0000232"
"-38.3861","144.1828","Anglesea","AU","AUS0000114"
"-34.2082","150.7722","Appin (Mine)","AU","AUS0000264"
"-16.7162","128.4031","Argyle Diamond Mine","AU","AUS0000220"
"-33.0250","151.5497","Awaba","AU","AUS0000049"
"-37.8429","147.5639","Bairnsdale","AU","AUS0000081"
"-37.5596","143.8469","Ballarat Base Hospital","AU","AUS0000113"
"-34.9030","150.5258","Bamarang","AU","AUS0000397"
"-34.6058","148.8696","Bango Wind Farm","AU","AUS0000398"
"-36.5344","147.4594","Banimboola","AU","AUS0000014"
"-33.9197","151.0332","Bankstown Sports Club","AU","AUS0000399"
"-34.6600","142.7850","Bannerton","AU","WKS0069929"
"-23.5525","145.3142","Barcaldine (Len Wishaw)","AU","AUS0000008"
"-23.5490","145.3180","Barcaldine KDB","AU","WKS0065252"
"-23.5388","145.2732","Barcaldine YD","AU","WKS0069521"
"-16.8502","145.6465","Barron Gorge","AU","AUS0000151"
"-41.7360","145.5321","Bastyan","AU","AUS0000137"
"-32.3953","150.9491","Bayswater","AU","AUS0000265"
"-35.2142","148.9872","Belconnen","AU","AUS0000400"
"-41.1429","146.9030","Bell Bay (Bell Bay Three)","AU","AUS0000139"
"-29.9623","151.6585","Ben Lomond","AU","AUS0000395"
"-34.7337","150.4669","Bendeela (Shoalhaven Scheme)","AU","AUS0000266"
"-12.4262","130.9195","Berrimah","AU","AUS0000251"
"-38.1197","145.2665","Berwick","AU","AUS0000080"
"-32.3530","149.4680","Beryl AU","AU","WKS0069215"
"-18.6816","121.7848","Bidyadanga","AU","AUS0000382"
"-33.6219","149.1982","Blayney Wind Farm","AU","AUS0000027"
"-35.3986","148.2463","Blowering","AU","AUS0000267"
"-36.3164","140.7575","Blue Lake Milling Power Plant","AU","AUS0000376"
"-40.7207","144.6869","Bluff Point (Woolnorth) Wind Farm","AU","AUS0000009"
"-36.5817","149.1083","Boco Rock","AU","AUS0000394"
"-32.4137","149.0590","Bodangora Wind Farm","AU","AUS0000422"
